Year,DOY,HHMM,u_1[cm3 s-1],u_2[cm3 s-1],u_3[cm3 s-1],u_4[cm3 s-1],u_5[cm3 s-1],u_6[cm3 s-1],u_7[cm3 s-1],u_8[cm3 s-1],u_9[cm3 s-1],u_10[cm3 s-1],u_11[cm3 s-1],u_12[cm3 s-1],u_mean[cm3 s-1],u_mean[mm s-1],u_mean[W m-2],u_mean[kgm-2s-1],u_mean[?],u_mean[mm d-1]
2022,17,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,17,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,17,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,17,720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,17,750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,17,820,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,17,850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,17,920,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,17,950,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,17,1020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,17,1050,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,17,1120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,17,1150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,17,1220,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,17,1250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,17,1320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,17,1350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,17,1420,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,17,1450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,17,1520,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,17,1550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,17,1620,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,17,1650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,17,1720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,17,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,17,1820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,17,1850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,17,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,17,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,17,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,17,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,17,2120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,17,2150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,17,2220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,17,2250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
